frame,text,noun_targets,annotations
Cotheme,He dismounted to lead his mare across . ,"[""mare""]","[[""Target"", ""lead""], [""Theme"", ""He""], [""Cotheme"", ""his mare""], [""Path"", ""across""]]"
Body_parts,Karlinsky stroked his beard and smiled . ,"[""beard""]","[[""Target"", ""beard""], [""Possessor"", ""his""], [""Body_part"", ""beard""]]"
Containers,Breakfast came with tea in petrol cans . ,"[""petrol"", ""cans""]","[[""Target"", ""cans""], [""Use"", ""petrol""], [""Container"", ""cans""]]"
Judgment,Yet his comments were curiously approving . ,"[""comments""]","[[""Target"", ""approving""], [""Expressor"", ""his comments""]]"
Hostile_encounter,Two teams battle to beat the drop ,"[""teams""]","[[""Target"", ""battle""], [""Sides"", ""Two teams""], [""Purpose"", ""to beat the drop""]]"
Apply_heat,Grill the coconut until golden ; cool . ,"[""coconut""]","[[""Target"", ""Grill""], [""Food"", ""the coconut""], [""Duration"", ""until golden""]]"
Personal_relationship,She turned back to her companions with a sniff . ,"[""companions""]","[[""Target"", ""companions""], [""Partner_2"", ""her""], [""Partner_1"", ""companions""]]"
Intoxicants,"` Do you want a herbal tranquillizer ? "" ","[""tranquillizer""]","[[""Target"", ""tranquillizer""], [""Type"", ""herbal""], [""Intoxicant"", ""tranquillizer""]]"
Arriving,Despite its beauty this whole area is little visited . ,"[""area""]","[[""Target"", ""visited""], [""Goal"", ""this whole area""]]"
Seeking,She fumbles for defusing words . ,"[""words""]","[[""Target"", ""fumbles""], [""Cognizer_agent"", ""She""], [""Sought_entity"", ""for defusing words""]]"
Motion_noise,These big cultivators rumbling along . ,"[""cultivators""]","[[""Target"", ""rumbling""], [""Theme"", ""These big cultivators""], [""Path"", ""along""]]"
Absorb_heat,The omelette sizzled in the cast-iron pan . ,"[""omelette""]","[[""Target"", ""sizzled""], [""Entity"", ""The omelette""], [""Container"", ""in the cast-iron pan""]]"
Accoutrements,His glasses were dim and smeared . ,"[""glasses""]","[[""Target"", ""glasses""], [""Wearer"", ""His""], [""Accoutrement"", ""glasses""]]"
Clothing,But the effect was slightly marred by stilettos . ,"[""stilettos""]","[[""Target"", ""stilettos""], [""Garment"", ""stilettos""]]"
Taking,Seizure of UN troops by Khmers Rouges,"[""troops"", ""Rouges""]","[[""Target"", ""Seizure""], [""Theme"", ""of UN troops""], [""Agent"", ""by Khmers Rouges""]]"
Communication_manner,"Enraged farmers banged on windows , shouting anti-American slogans . ","[""farmers"", ""slogans""]","[[""Target"", ""shouting""], [""Speaker"", ""Enraged farmers""], [""Message"", ""anti-American slogans""]]"
Facial_expression,He flashed an angry look around the airport . ,"[""look""]","[[""Target"", ""look""], [""Possessor"", ""He""], [""Internal_cause"", ""angry""], [""Expression"", ""look""]]"
Body_parts,The fragrant steam made his mouth water . ,"[""mouth""]","[[""Target"", ""mouth""], [""Possessor"", ""his""], [""Body_part"", ""mouth""]]"
Motion_noise,His knife clinked to the floor . ,"[""knife"", ""floor""]","[[""Target"", ""clinked""], [""Theme"", ""His knife""], [""Goal"", ""to the floor""]]"
Buildings,It is accessible from the top of an outhouse .,"[""outhouse""]","[[""Target"", ""outhouse""], [""Building"", ""outhouse""]]"
Supply,Seventh : Provide labor force .,"[""labor"", ""force""]","[[""Target"", ""Provide""], [""Theme"", ""labor force""]]"
Communication_noise,Liti screamed her outrage . ,"[""outrage""]","[[""Target"", ""screamed""], [""Speaker"", ""Liti""], [""Message"", ""her outrage""]]"
Location_of_light,Lightning flickered noiselessly in the western sky . ,"[""Lightning""]","[[""Target"", ""flickered""], [""Figure"", ""Lightning""], [""Manner"", ""noiselessly""]]"
Dominate_competitor,Should considerations of efficiency dominate those of welfare ?,"[""considerations"", ""efficiency"", ""welfare""]","[[""Target"", ""dominate""], [""Agent"", ""considerations of efficiency""], [""Patient"", ""those of welfare""]]"
Self_motion,Claire sprints into work . ,"[""work""]","[[""Target"", ""sprints""], [""Self_mover"", ""Claire""], [""Goal"", ""into work""]]"
Turning_out,But we all know how that story turned out .,"[""story""]","[[""Target"", ""turned""], [""State_of_affairs"", ""that story""]]"
Indicating,Clare would n't name names there and then .,"[""names""]","[[""Target"", ""name""], [""Communicator"", ""Clare""], [""Unresolved_referent"", ""names""], [""Place"", ""there""]]"
Becoming_aware,We have encountered them throughout the book .,"[""book""]","[[""Target"", ""encountered""], [""Cognizer"", ""We""], [""Phenomenon"", ""them""], [""Ground"", ""throughout the book""]]"
Documents,My id looks a lot like Cave Slayer Buffy .,"[""id""]","[[""Target"", ""id""], [""Bearer"", ""My""], [""Document"", ""id""]]"
Cause_emotion,I insulted him at the time .,"[""time""]","[[""Target"", ""insulted""], [""Agent"", ""I""], [""Experiencer"", ""him""], [""Time"", ""at the time""]]"
Residence,A nobler man never lived upon earth .,"[""man"", ""earth""]","[[""Target"", ""lived""], [""Resident"", ""A nobler man""], [""Location"", ""upon earth .""]]"
Desirability,She smoked a horrible French cigarette . ,"[""French"", ""cigarette""]","[[""Target"", ""horrible""], [""Evaluee"", ""French cigarette""]]"
Statement,`` Rabin today made this proposal .,"[""today""]","[[""Target"", ""proposal""], [""Speaker"", ""Rabin""], [""Time"", ""today""]]"
Completeness,You will offer what amounts to a full pardon .,"[""pardon""]","[[""Target"", ""full""], [""Whole"", ""pardon""]]"
Existence,Your support helps provide real solutions .,"[""solutions""]","[[""Target"", ""real""], [""Entity"", ""solutions""]]"
Text_creation,Doreen uttered a protest . ,"[""protest""]","[[""Target"", ""uttered""], [""Author"", ""Doreen""], [""Text"", ""a protest""]]"
Origin,Technology transfer for new Iranian missiles and artillery rockets .,"[""missiles""]","[[""Target"", ""Iranian""], [""Origin"", ""Iranian""], [""Entity"", ""missiles""]]"
Self_motion,"He paced about for some time , looking agitated . ","[""time""]","[[""Target"", ""paced""], [""Self_mover"", ""He""], [""Area"", ""about""], [""Duration"", ""for some time""], [""Depictive"", ""looking agitated""]]"
Cause_motion,I felt like flinging aside the towel . ,"[""towel""]","[[""Target"", ""flinging""], [""Agent"", ""I""], [""Goal"", ""aside""], [""Theme"", ""the towel""]]"
Behind_the_scenes,Mr Rickman directed her show at the Empire Theatre . ,"[""show""]","[[""Target"", ""directed""], [""Artist"", ""Mr Rickman""], [""Production"", ""her show""], [""Place"", ""at the Empire Theatre""]]"
Clothing,It was bundled in furs and wore high boots . ,"[""boots""]","[[""Target"", ""boots""], [""Descriptor"", ""high""], [""Garment"", ""boots""]]"
Food,Roll the stuffed dates in castor sugar . ,"[""castor""]","[[""Target"", ""sugar""], [""Type"", ""castor""]]"
Accoutrements,Have you got your stop watch on ? ,"[""stop"", ""watch""]","[[""Target"", ""watch""], [""Wearer"", ""your""], [""Style"", ""stop""], [""Accoutrement"", ""watch""]]"
Chemical-sense_description,The whole place stank . ,"[""place""]","[[""Target"", ""stank""], [""Perceptual_source"", ""The whole place""]]"
Discussion,Three themes were pinpointed and discussed in subsequent meetings . ,"[""themes"", ""meetings""]","[[""Target"", ""discussed""], [""Topic"", ""Three themes""], [""Time"", ""in subsequent meetings""]]"
Judgment_direct_address,People can be very shy about giving compliments . ,"[""People""]","[[""Target"", ""compliments""], [""Communicator"", ""People""]]"
Size,"Their powers are great . ""","[""powers""]","[[""Target"", ""great""], [""Entity"", ""Their powers""]]"
Judgment,And he blames sheep dip for his condition . ,"[""sheep"", ""condition""]","[[""Target"", ""blames""], [""Cognizer"", ""he""], [""Evaluee"", ""sheep dip""], [""Reason"", ""for his condition""]]"
Clothing,I admired his silk suit . ,"[""silk"", ""suit""]","[[""Target"", ""suit""], [""Wearer"", ""his""], [""Material"", ""silk""], [""Garment"", ""suit""]]"
Make_noise,Zhukov snorted in annoyance . ,"[""annoyance""]","[[""Target"", ""snorted""], [""Sound_source"", ""Zhukov""], [""Sound"", ""snorted""], [""Internal_cause"", ""in annoyance""]]"
Impact,The door clanged shut . ,"[""door""]","[[""Target"", ""clanged""], [""Impactor"", ""The door""], [""Result"", ""shut""]]"
Activity_start,The Irish are actually beginning to come home .,"[""home""]","[[""Target"", ""beginning""], [""Agent"", ""The Irish""], [""Activity"", ""to come home""]]"
Being_wet,My two chips were ready in my sweaty palm . ,"[""palm""]","[[""Target"", ""sweaty""], [""Liquid"", ""sweaty""], [""Item"", ""palm""]]"
Body_movement,He cocked a sardonic eyebrow at her . ,"[""eyebrow""]","[[""Target"", ""cocked""], [""Agent"", ""He""], [""Body_part"", ""a sardonic eyebrow""], [""Addressee"", ""at her""]]"
People_by_origin,They are foreigners and they appear to be drinking .,"[""foreigners""]","[[""Target"", ""foreigners""], [""Person"", ""They""], [""Origin"", ""foreigners""]]"
Body_parts,Her own body was nearly ready again for clothes . ,"[""body""]","[[""Target"", ""body""], [""Possessor"", ""Her""], [""Body_part"", ""body""]]"
Make_noise,A radio whined somewhere . ,"[""radio""]","[[""Target"", ""whined""], [""Sound_source"", ""A radio""], [""Sound"", ""whined""], [""Place"", ""somewhere""]]"
Communication_manner,Every Masai sings hymns to cattle . ,"[""hymns"", ""cattle""]","[[""Target"", ""sings""], [""Speaker"", ""Every Masai""], [""Message"", ""hymns""], [""Addressee"", ""to cattle""]]"
Activity_finish,The contract was concluded at that time .,"[""contract"", ""time""]","[[""Target"", ""concluded""], [""Activity"", ""The contract""], [""Time"", ""at that time""]]"
Likelihood,Are women more prone than men to finding fault ? ,"[""women"", ""men"", ""finding"", ""fault""]","[[""Target"", ""prone""], [""Hypothetical_event"", ""women""], [""Degree"", ""more""], [""Degree"", ""than men""], [""Hypothetical_event"", ""to finding fault""]]"
Desirability,• What an awful series of events . ,"[""series"", ""events""]","[[""Target"", ""awful""], [""Evaluee"", ""series of events""]]"
Self_motion,Lord John slowly climbed to his feet . ,"[""feet""]","[[""Target"", ""climbed""], [""Self_mover"", ""Lord John""], [""Speed"", ""slowly""], [""Result"", ""to his feet""]]"
Cause_harm,"Stone 's son ` was beaten by gang "" ","[""son"", ""gang""]","[[""Target"", ""beaten""], [""Victim"", ""Stone 's son""], [""Agent"", ""by gang""]]"
Quantified_mass,A stream of visitors turned up at the camp . ,"[""stream"", ""visitors""]","[[""Target"", ""stream""], [""Quantity"", ""stream""], [""Individuals"", ""of visitors""]]"
Body_movement,The barman craned his head across the counter . ,"[""barman"", ""head"", ""counter""]","[[""Target"", ""craned""], [""Agent"", ""The barman""], [""Body_part"", ""his head""], [""Path"", ""across the counter""]]"
Addiction,We know he 's a heroin addict . ,"[""heroin""]","[[""Target"", ""addict""], [""Addict"", ""he""], [""Addictant"", ""heroin""]]"
Removing,She was making hard work of plucking the goose . ,"[""goose""]","[[""Target"", ""plucking""], [""Source"", ""the goose""]]"
Impact,His teeth chattered and he whimpered . ,"[""teeth""]","[[""Target"", ""chattered""], [""Impactors"", ""His teeth""]]"
Weapon,QN : Does Iran intend to produce nuclear weapons ?,"[""weapons""]","[[""Target"", ""nuclear""], [""Weapon"", ""nuclear weapons""]]"
Natural_features,She climbed down the dune and walked towards him . ,"[""dune""]","[[""Target"", ""dune""], [""Locale"", ""dune""]]"
Sounds,A sharp slap of wood on glass . ,"[""wood"", ""glass""]","[[""Target"", ""slap""], [""Manner"", ""sharp""], [""Theme"", ""of wood""], [""Ground"", ""on glass""]]"
Contingency,Money hinged on the fact .,"[""Money"", ""fact""]","[[""Target"", ""hinged""], [""Outcome"", ""Money""], [""Determinant"", ""on the fact""]]"
Level_of_force_exertion,He thought he knew the force of the wind .,"[""wind""]","[[""Target"", ""force""], [""Exerter"", ""of the wind""]]"
Cause_change_of_strength,Men 's intolerance is fortified by their power .,"[""Men"", ""intolerance"", ""power""]","[[""Target"", ""fortified""], [""Patient"", ""Men 's intolerance""], [""Cause"", ""by their power""]]"
