frame,original_sent,replaced_sent,original_word,replaced_word,frame_element
Cause_motion,I felt like flinging aside the towel .,I felt like flinging aside the tray .,towel,tray,Theme
Behind_the_scenes,Mr Rickman directed her show at the Empire Theatre .,Mr Rickman directed her know at the Empire Theatre .,show,know,Production
Clothing,It was bundled in furs and wore high boots .,It was bundled in furs and wore high sneakers .,boots,sneakers,Garment
Accoutrements,Have you got your stop watch on ?,Have you got your want watch on ?,stop,want,Style
Accoutrements,Have you got your stop watch on ?,Have you got your stop video on ?,watch,video,Accoutrement
Chemical-sense_description,The whole place stank .,The whole in stank .,place,in,Perceptual_source
Discussion,Three themes were pinpointed and discussed in subsequent meetings .,Three aspects were pinpointed and discussed in subsequent meetings .,themes,aspects,Topic
Discussion,Three themes were pinpointed and discussed in subsequent meetings .,Three themes were pinpointed and discussed in subsequent proceedings .,meetings,proceedings,Time
Judgment_direct_address,People can be very shy about giving compliments .,Hundreds can be very shy about giving compliments .,People,Hundreds,Communicator
Size,"Their powers are great . ""","Their circumstances are great . """,powers,circumstances,Entity
Judgment,And he blames sheep dip for his condition .,And he blames pasture dip for his condition .,sheep,pasture,Evaluee
Judgment,And he blames sheep dip for his condition .,And he blames sheep dip for his consequence .,condition,consequence,Reason
Clothing,I admired his silk suit .,I admired his nylon suit .,silk,nylon,Material
Clothing,I admired his silk suit .,I admired his silk choice .,suit,choice,Garment
Make_noise,Zhukov snorted in annoyance .,Zhukov snorted in discontent .,annoyance,discontent,Internal_cause
Impact,The door clanged shut .,The driveway clanged shut .,door,driveway,Impactor
Activity_start,The Irish are actually beginning to come home .,The Irish are actually beginning to come apartment .,home,apartment,Activity
Being_wet,My two chips were ready in my sweaty palm .,My two chips were ready in my sweaty leaf .,palm,leaf,Item
Body_movement,He cocked a sardonic eyebrow at her .,He cocked a sardonic wink at her .,eyebrow,wink,Body_part
People_by_origin,They are foreigners and they appear to be drinking .,They are tourists and they appear to be drinking .,foreigners,tourists,Origin
Body_parts,Her own body was nearly ready again for clothes .,Her own flesh was nearly ready again for clothes .,body,flesh,Body_part
Make_noise,A radio whined somewhere .,A network whined somewhere .,radio,network,Sound_source
Communication_manner,Every Masai sings hymns to cattle .,Every Masai sings blessings to cattle .,hymns,blessings,Message
Communication_manner,Every Masai sings hymns to cattle .,Every Masai sings hymns to geese .,cattle,geese,Addressee
Activity_finish,The contract was concluded at that time .,The employee was concluded at that time .,contract,employee,Activity
Activity_finish,The contract was concluded at that time .,The contract was concluded at that beginning .,time,beginning,Time
Likelihood,Are women more prone than men to finding fault ?,Are minorities more prone than men to finding fault ?,women,minorities,Hypothetical_event
Likelihood,Are women more prone than men to finding fault ?,Are women more prone than sexes to finding fault ?,men,sexes,Degree
Likelihood,Are women more prone than men to finding fault ?,Are women more prone than men to find fault ?,finding,find,Hypothetical_event
Likelihood,Are women more prone than men to finding fault ?,Are women more prone than men to finding failure ?,fault,failure,Hypothetical_event
Desirability,• What an awful series of events .,• What an awful comic of events .,series,comic,Evaluee
Desirability,• What an awful series of events .,• What an awful series of shows .,events,shows,Evaluee
Self_motion,Lord John slowly climbed to his feet .,Lord John slowly climbed to his meters .,feet,meters,Result
Cause_harm,"Stone 's son ` was beaten by gang "" ","Stone 's widow ` was beaten by gang "" ",son,widow,Victim
Cause_harm,"Stone 's son ` was beaten by gang "" ","Stone 's son ` was beaten by pimp "" ",gang,pimp,Agent
Quantified_mass,A stream of visitors turned up at the camp .,A channel of visitors turned up at the camp .,stream,channel,Quantity
Quantified_mass,A stream of visitors turned up at the camp .,A stream of listeners turned up at the camp .,visitors,listeners,Individuals
Body_movement,The barman craned his head across the counter .,The barman craned his chief across the counter .,head,chief,Body_part
Body_movement,The barman craned his head across the counter .,The barman craned his head across the lobby .,counter,lobby,Path
Addiction,We know he 's a heroin addict .,We know he 's a suicide addict .,heroin,suicide,Addictant
Removing,She was making hard work of plucking the goose .,She was making hard work of plucking the hawk .,goose,hawk,Source
Impact,His teeth chattered and he whimpered .,His joints chattered and he whimpered .,teeth,joints,Impactors
Weapon,QN : Does Iran intend to produce nuclear weapons ?,QN : Does Iran intend to produce nuclear mercenaries ?,weapons,mercenaries,Weapon
Natural_features,She climbed down the dune and walked towards him .,She climbed down the prairie and walked towards him .,dune,prairie,Locale
Sounds,A sharp slap of wood on glass .,A sharp slap of decking on glass .,wood,decking,Theme
Sounds,A sharp slap of wood on glass .,A sharp slap of wood on copper .,glass,copper,Ground
Contingency,Money hinged on the fact .,Worth hinged on the fact .,Money,Worth,Outcome
Contingency,Money hinged on the fact .,Money hinged on the reason .,fact,reason,Determinant
Level_of_force_exertion,He thought he knew the force of the wind .,He thought he knew the force of the light .,wind,light,Exerter
Cause_change_of_strength,Men 's intolerance is fortified by their power .,Ones 's intolerance is fortified by their power .,Men,Ones,Patient
Cause_change_of_strength,Men 's intolerance is fortified by their power .,Men 's insecurity is fortified by their power .,intolerance,insecurity,Patient
Cause_change_of_strength,Men 's intolerance is fortified by their power .,Men 's intolerance is fortified by their turbine .,power,turbine,Cause
